Source.Name	Characteristics.Subject.ID.	Characteristics.Strain.	Characteristics.Organism.	Term.Source.REF	Term.Accession.Number	Characteristics.Sex.	Factor.Value.Age.	Characteristics.AgeUnit.	Term.Source.REF.1	Term.Accession.Number.1	Characteristics.Organ.	Term.Source.REF.2	Term.Accession.Number.2	Characteristics.Tissue.	Term.Source.REF.3	Term.Accession.Number.3	Characteristics.Cell.	Term.Source.REF.4	Term.Accession.Number.4	Characteristics.Assay.Type.	Characteristics.Biological.Replicate.	Characteristics.Technical.Replicate.	Factor.Value.Compound.	Term.Source.REF.5	Term.Accession.Number.5	Characteristics.StdInChIKey.	Comment.chEMBL.ID.	Characteristics.Eniantiomer.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Term.Source.REF.6	Term.Accession.Number.6	Factor.Value.Dose.Duration.	Characteristics.Dose.DurationUnit.	Term.Source.REF.7	Term.Accession.Number.7	Factor.Value.Dose.Frequency.	Characteristics.Vehicle.	Characteristics.Route.	Term.Source.REF.8	Term.Accession.Number.8	Factor.Value.Sample.TimePoint.	Characteristics.Sample.TimePointUnit.	Term.Source.REF.9	Term.Accession.Number.9	Characteristics.Treatment.Group.	Protocol.REF	Sample.Name
clofibrate_0.67_500_3	93252	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_0.67	500	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_0.67_500_3
clofibrate_1_125_1	100985	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	125	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_125_1
clofibrate_1_125_2	101003	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	125	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_125_2
clofibrate_1_125_3	101117	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	125	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_125_3
clofibrate_1_250_1	100984	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	250	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_250_1
clofibrate_1_250_2	101002	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	250	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_250_2
clofibrate_1_250_3	101021	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	250	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_250_3
clofibrate_1_500_1	100983	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_500_1
clofibrate_1_500_2	101020	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_500_2
clofibrate_1_500_3	101116	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_500_3
clofibrate_1_500_4	93013	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	4	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_500_4
clofibrate_1_500_5	93175	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	5	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_500_5
clofibrate_1_500_6	93311	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	6	1	clofibrate	CHEBI	3750	TXCGAZHTZHNUAI-UHFFFAOYSA-N	CHEMBL683	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clofibrate_1_500_6
clomipramine_0.67_50_1	93651	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clomipramine	CHEBI	47780	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CHEMBL415	NA	NA	FALSE	control_0.67	50	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clomipramine_0.67_50_1
clomipramine_0.67_50_2	93677	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clomipramine	CHEBI	47780	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CHEMBL415	NA	NA	FALSE	control_0.67	50	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clomipramine_0.67_50_2
clomipramine_0.67_50_3	93934	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clomipramine	CHEBI	47780	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CHEMBL415	NA	NA	FALSE	control_0.67	50	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clomipramine_0.67_50_3
clomipramine_1_50_1	93531	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clomipramine	CHEBI	47780	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CHEMBL415	NA	NA	FALSE	control_1	50	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clomipramine_1_50_1
clomipramine_1_50_2	93616	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clomipramine	CHEBI	47780	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CHEMBL415	NA	NA	FALSE	control_1	50	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clomipramine_1_50_2
clomipramine_1_50_3	93781	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clomipramine	CHEBI	47780	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CHEMBL415	NA	NA	FALSE	control_1	50	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clomipramine_1_50_3
clotrimazole_0.67_60_1	93785	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clotrimazole	CHEBI	3764	VNFPBHJOKIVQEB-UHFFFAOYSA-N	CHEMBL104	NA	NA	FALSE	control_0.67	60	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clotrimazole_0.67_60_1
clotrimazole_0.67_60_2	93822	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clotrimazole	CHEBI	3764	VNFPBHJOKIVQEB-UHFFFAOYSA-N	CHEMBL104	NA	NA	FALSE	control_0.67	60	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clotrimazole_0.67_60_2
clotrimazole_0.67_60_3	93834	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clotrimazole	CHEBI	3764	VNFPBHJOKIVQEB-UHFFFAOYSA-N	CHEMBL104	NA	NA	FALSE	control_0.67	60	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clotrimazole_0.67_60_3
clotrimazole_1_60_1	93764	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clotrimazole	CHEBI	3764	VNFPBHJOKIVQEB-UHFFFAOYSA-N	CHEMBL104	NA	NA	FALSE	control_1	60	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clotrimazole_1_60_1
clotrimazole_1_60_2	93941	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clotrimazole	CHEBI	3764	VNFPBHJOKIVQEB-UHFFFAOYSA-N	CHEMBL104	NA	NA	FALSE	control_1	60	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clotrimazole_1_60_2
clotrimazole_1_60_3	94222	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clotrimazole	CHEBI	3764	VNFPBHJOKIVQEB-UHFFFAOYSA-N	CHEMBL104	NA	NA	FALSE	control_1	60	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clotrimazole_1_60_3
clozapine_0.67_69_1	93106	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clozapine			QZUDBNBUXVUHMW-UHFFFAOYSA-N	CHEMBL42	NA	NA	FALSE	control_0.67	69	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clozapine_0.67_69_1
clozapine_0.67_69_2	93198	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clozapine			QZUDBNBUXVUHMW-UHFFFAOYSA-N	CHEMBL42	NA	NA	FALSE	control_0.67	69	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clozapine_0.67_69_2
clozapine_0.67_69_3	93248	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clozapine			QZUDBNBUXVUHMW-UHFFFAOYSA-N	CHEMBL42	NA	NA	FALSE	control_0.67	69	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clozapine_0.67_69_3
clozapine_1_69_1	93107	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	clozapine			QZUDBNBUXVUHMW-UHFFFAOYSA-N	CHEMBL42	NA	NA	FALSE	control_1	69	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clozapine_1_69_1
clozapine_1_69_2	93192	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	clozapine			QZUDBNBUXVUHMW-UHFFFAOYSA-N	CHEMBL42	NA	NA	FALSE	control_1	69	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clozapine_1_69_2
clozapine_1_69_3	93222	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	clozapine			QZUDBNBUXVUHMW-UHFFFAOYSA-N	CHEMBL42	NA	NA	FALSE	control_1	69	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	clozapine_1_69_3
colchicine_0.67_1000_1	93536	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_0.67	1000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_0.67_1000_1
colchicine_0.67_1000_2	93543	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_0.67	1000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_0.67_1000_2
colchicine_0.67_1000_3	93645	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_0.67	1000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_0.67_1000_3
colchicine_0.67_2000_1	93814	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_0.67	2000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_0.67_2000_1
colchicine_0.67_2000_2	93879	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_0.67	2000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_0.67_2000_2
colchicine_0.67_2000_3	93888	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_0.67	2000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_0.67_2000_3
colchicine_1_1000_1	93600	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_1	1000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_1_1000_1
colchicine_1_1000_2	93639	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_1	1000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_1_1000_2
colchicine_1_1000_3	93767	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_1	1000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_1_1000_3
colchicine_1_2000_1	93947	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_1	2000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_1_2000_1
colchicine_1_2000_2	94006	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_1	2000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_1_2000_2
colchicine_1_2000_3	94216	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	colchicine	CHEBI	23359	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	NA	NA	FALSE	control_1	2000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	colchicine_1_2000_3
cyclophosphamide_0.67_1320_1	93333	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	cyclophosphamide	CHEBI	4027	CMSMOCZEIVJLDB-UHFFFAOYSA-N	CHEMBL88	NA	NA	FALSE	control_0.67	1320	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	cyclophosphamide_0.67_1320_1
cyclophosphamide_0.67_1320_2	93386	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	cyclophosphamide	CHEBI	4027	CMSMOCZEIVJLDB-UHFFFAOYSA-N	CHEMBL88	NA	NA	FALSE	control_0.67	1320	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	cyclophosphamide_0.67_1320_2
cyclophosphamide_0.67_1320_3	93480	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	cyclophosphamide	CHEBI	4027	CMSMOCZEIVJLDB-UHFFFAOYSA-N	CHEMBL88	NA	NA	FALSE	control_0.67	1320	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	cyclophosphamide_0.67_1320_3
cyclophosphamide_1_1320_1	93334	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	cyclophosphamide	CHEBI	4027	CMSMOCZEIVJLDB-UHFFFAOYSA-N	CHEMBL88	NA	NA	FALSE	control_1	1320	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	cyclophosphamide_1_1320_1
cyclophosphamide_1_1320_2	93359	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	cyclophosphamide	CHEBI	4027	CMSMOCZEIVJLDB-UHFFFAOYSA-N	CHEMBL88	NA	NA	FALSE	control_1	1320	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	cyclophosphamide_1_1320_2
cyclophosphamide_1_1320_3	93607	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	cyclophosphamide	CHEBI	4027	CMSMOCZEIVJLDB-UHFFFAOYSA-N	CHEMBL88	NA	NA	FALSE	control_1	1320	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	cyclophosphamide_1_1320_3
